student_id,course_code,course_name,trimester,instructor,year,status
DS003,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS003,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS003,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS003,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS003,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS003,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS003,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS003,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Ongoing
DS003,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Ongoing
DS003,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Ongoing
DS003,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Ongoing
DS004,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS004,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS004,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS004,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS004,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS004,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS004,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS004,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS004,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS004,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS004,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS004,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS004,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS004,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS004,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS004,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS004,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Completed
DS004,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Completed
DS004,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Completed
DS004,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Completed
DS004,RL601,Reinforcement Learning,Trimester 6,Dr. Ravi Menon,2023,Ongoing
DS004,TSA601,Time Series Analysis,Trimester 6,Dr. Priya Singh,2023,Ongoing
DS004,BA601,Business Analytics,Trimester 6,Dr. Neha Sharma,2023,Ongoing
DS004,CAP601,Capstone Project,Trimester 6,Dr. Vikram Iyer,2023,Ongoing
DS005,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS005,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS005,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS005,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS005,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS005,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS005,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS005,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS005,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS005,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS005,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS005,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS005,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS005,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS005,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS005,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS005,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Completed
DS005,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Completed
DS005,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Completed
DS005,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Completed
DS005,RL601,Reinforcement Learning,Trimester 6,Dr. Ravi Menon,2023,Ongoing
DS005,TSA601,Time Series Analysis,Trimester 6,Dr. Priya Singh,2023,Ongoing
DS005,BA601,Business Analytics,Trimester 6,Dr. Neha Sharma,2023,Ongoing
DS005,CAP601,Capstone Project,Trimester 6,Dr. Vikram Iyer,2023,Ongoing
DS006,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS006,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS006,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS006,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS006,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS006,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS006,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS006,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS006,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS006,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS006,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS006,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS006,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS006,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS006,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS006,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS006,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Ongoing
DS006,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Ongoing
DS006,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Ongoing
DS006,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Ongoing
DS007,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS007,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS007,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS007,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS007,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS007,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS007,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS007,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS007,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS007,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS007,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS007,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS007,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS007,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS007,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS007,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS007,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Ongoing
DS007,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Ongoing
DS007,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Ongoing
DS007,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Ongoing
DS008,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS008,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS008,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS008,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS008,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS008,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS008,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS008,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS008,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS008,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS008,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS008,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS008,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS008,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS008,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS008,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS008,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Ongoing
DS008,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Ongoing
DS008,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Ongoing
DS008,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Ongoing
DS009,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS009,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS009,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS009,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS009,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS009,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS009,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS009,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS009,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS009,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS009,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS009,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS009,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS009,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS009,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS009,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS009,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Ongoing
DS009,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Ongoing
DS009,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Ongoing
DS009,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Ongoing
DS010,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS010,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS010,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS010,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS010,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS010,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS010,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS010,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS010,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS010,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS010,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS010,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS010,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS010,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS010,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS010,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS010,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Completed
DS010,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Completed
DS010,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Completed
DS010,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Completed
DS010,RL601,Reinforcement Learning,Trimester 6,Dr. Ravi Menon,2023,Ongoing
DS010,TSA601,Time Series Analysis,Trimester 6,Dr. Priya Singh,2023,Ongoing
DS010,BA601,Business Analytics,Trimester 6,Dr. Neha Sharma,2023,Ongoing
DS010,CAP601,Capstone Project,Trimester 6,Dr. Vikram Iyer,2023,Ongoing
DS011,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS011,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS011,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS011,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS011,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS011,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS011,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS011,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS011,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS011,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS011,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS011,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS011,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS011,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS011,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS011,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS011,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Completed
DS011,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Completed
DS011,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Completed
DS011,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Completed
DS011,RL601,Reinforcement Learning,Trimester 6,Dr. Ravi Menon,2023,Ongoing
DS011,TSA601,Time Series Analysis,Trimester 6,Dr. Priya Singh,2023,Ongoing
DS011,BA601,Business Analytics,Trimester 6,Dr. Neha Sharma,2023,Ongoing
DS011,CAP601,Capstone Project,Trimester 6,Dr. Vikram Iyer,2023,Ongoing
DS012,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS012,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS012,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS012,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS012,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS012,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS012,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS012,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS012,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS012,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS012,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS012,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS012,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS012,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS012,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS012,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS012,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Completed
DS012,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Completed
DS012,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Completed
DS012,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Completed
DS012,RL601,Reinforcement Learning,Trimester 6,Dr. Ravi Menon,2023,Ongoing
DS012,TSA601,Time Series Analysis,Trimester 6,Dr. Priya Singh,2023,Ongoing
DS012,BA601,Business Analytics,Trimester 6,Dr. Neha Sharma,2023,Ongoing
DS012,CAP601,Capstone Project,Trimester 6,Dr. Vikram Iyer,2023,Ongoing
DS013,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS013,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS013,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS013,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS013,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS013,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS013,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS013,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS013,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS013,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS013,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS013,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS013,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS013,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS013,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS013,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS013,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Completed
DS013,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Completed
DS013,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Completed
DS013,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Completed
DS013,RL601,Reinforcement Learning,Trimester 6,Dr. Ravi Menon,2023,Ongoing
DS013,TSA601,Time Series Analysis,Trimester 6,Dr. Priya Singh,2023,Ongoing
DS013,BA601,Business Analytics,Trimester 6,Dr. Neha Sharma,2023,Ongoing
DS013,CAP601,Capstone Project,Trimester 6,Dr. Vikram Iyer,2023,Ongoing
DS014,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS014,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS014,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS014,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS014,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS014,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS014,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS014,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS014,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS014,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS014,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS014,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS014,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS014,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS014,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS014,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS014,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Ongoing
DS014,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Ongoing
DS014,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Ongoing
DS014,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Ongoing
DS015,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS015,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS015,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS015,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS015,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS015,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS015,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS015,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS015,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS015,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
