student_id,course_code,course_name,instructor,course_rating,instructor_rating,content_rating,difficulty_rating,comment,submission_date
DS002,MATH201,Mathematics 2,Dr. Anil Kumar,2,3,3,3,"The course materials were excellent. However, there was too much theoretical content.",2023
DS002,STAT201,Statistics 2,Dr. Priya Singh,4,3,4,2,The course exceeded my expectations.,2022
DS002,JAVA201,Java Programming,Prof. Suresh Verma,5,5,5,1,I would recommend this course to others.,2022
DS002,DBMS201,DBMS,Prof. Meena Gupta,4,4,5,1,The feedback on assignments was very helpful.,2022
DS002,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,4,3,3,1,"I would recommend this course to others. However, there was too much theoretical content.",2022
DS002,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,3,4,3,1,"The feedback on assignments was very helpful. However, the pace of the course was too fast.",2022
DS002,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,3,3,3,2,"I would recommend this course to others. However, the course materials need updating.",2022
DS002,DBS301,Database Systems,Prof. Meena Gupta,5,4,3,1,I enjoyed the practical aspects of this course.,2022
DS002,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,4,3,3,1,"The course materials were excellent. However, i found the assignments too time-consuming.",2024
DS002,CSYS401,Computer Systems,Prof. Kavita Reddy,5,4,3,1,I enjoyed the practical aspects of this course.,2023
DS002,BDS401,Big Data Systems,Dr. Amit Patel,2,4,2,2,"The feedback on assignments was very helpful. However, better explanation of complex topics is needed.",2023
DS002,DVIS401,Data Visualization,Dr. Neha Sharma,3,5,3,1,The assignments were challenging but rewarding.,2024
DS002,MLP501,Machine Learning Practice,Dr. Vikram Iyer,5,5,4,1,The assignments were challenging but rewarding.,2023
DS002,DL501,Deep Learning,Dr. Amit Patel,2,1,1,4,The pace of the course was too fast.,2024
DS002,NLP501,Natural Language Processing,Dr. Neha Sharma,5,5,5,1,I learned a lot from this course.,2023
DS002,CV501,Computer Vision,Dr. Ravi Menon,4,4,4,1,The assignments were challenging but rewarding.,2024
DS003,MATH101,Mathematics 1,Dr. Anil Kumar,4,4,5,1,I enjoyed the practical aspects of this course.,2022
DS003,STAT101,Statistics 1,Dr. Priya Singh,4,5,5,1,The course materials were excellent.,2023
DS003,PROG101,Programming Basics,Prof. Raj Sharma,2,3,3,2,"I would recommend this course to others. However, the pace of the course was too fast.",2022
DS003,SYSC101,System Commands,Prof. Kavita Reddy,4,4,3,2,The assignments were challenging but rewarding.,2023
DS003,MATH201,Mathematics 2,Dr. Anil Kumar,4,3,4,1,I learned a lot from this course.,2022
DS003,STAT201,Statistics 2,Dr. Priya Singh,5,5,5,1,The course was well-structured and informative.,2022
DS003,JAVA201,Java Programming,Prof. Suresh Verma,4,5,4,2,The course exceeded my expectations.,2023
DS003,DBMS201,DBMS,Prof. Meena Gupta,5,4,5,1,The feedback on assignments was very helpful.,2023
DS003,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,4,4,3,2,The course exceeded my expectations.,2022
DS003,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,3,3,3,2,"I would recommend this course to others. However, the course materials need updating.",2023
DS003,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,3,2,3,2,"The assignments were challenging but rewarding. However, i found the assignments too time-consuming.",2023
DS003,DBS301,Database Systems,Prof. Meena Gupta,3,2,2,3,More practical examples would have been helpful.,2022
DS003,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,3,3,4,1,"The assignments were challenging but rewarding. However, the assessment criteria were not clear.",2024
DS003,CSYS401,Computer Systems,Prof. Kavita Reddy,3,1,3,3,More practical examples would have been helpful.,2023
DS003,BDS401,Big Data Systems,Dr. Amit Patel,3,2,3,1,"I enjoyed the practical aspects of this course. However, there was too much theoretical content.",2023
DS003,DVIS401,Data Visualization,Dr. Neha Sharma,5,4,4,1,The course materials were excellent.,2024
DS004,MATH101,Mathematics 1,Dr. Anil Kumar,2,3,3,3,"I would recommend this course to others. However, i found the assignments too time-consuming.",2023
DS004,STAT101,Statistics 1,Dr. Priya Singh,5,4,4,1,The feedback on assignments was very helpful.,2022
DS004,PROG101,Programming Basics,Prof. Raj Sharma,4,3,4,1,I would recommend this course to others.,2023
DS004,SYSC101,System Commands,Prof. Kavita Reddy,2,3,3,2,"The course exceeded my expectations. However, the assessment criteria were not clear.",2023
DS004,MATH201,Mathematics 2,Dr. Anil Kumar,4,4,3,1,I enjoyed the practical aspects of this course.,2022
DS004,STAT201,Statistics 2,Dr. Priya Singh,3,3,4,2,"The feedback on assignments was very helpful. However, the assessment criteria were not clear.",2022
DS004,JAVA201,Java Programming,Prof. Suresh Verma,3,3,4,2,"The assignments were challenging but rewarding. However, the course was too difficult.",2023
DS004,DBMS201,DBMS,Prof. Meena Gupta,4,4,4,1,The course exceeded my expectations.,2022
DS004,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,5,3,4,1,The instructor explained complex concepts clearly.,2022
DS004,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,4,3,3,1,"The course materials were excellent. However, the pace of the course was too fast.",2023
DS004,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,4,5,4,1,The course was well-structured and informative.,2023
DS004,DBS301,Database Systems,Prof. Meena Gupta,2,3,2,2,More practical examples would have been helpful.,2022
DS004,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,5,5,5,1,I would recommend this course to others.,2023
DS004,CSYS401,Computer Systems,Prof. Kavita Reddy,3,3,3,2,"The course exceeded my expectations. However, the assessment criteria were not clear.",2024
DS004,BDS401,Big Data Systems,Dr. Amit Patel,3,3,3,2,"I learned a lot from this course. However, the course materials need updating.",2023
DS004,DVIS401,Data Visualization,Dr. Neha Sharma,3,4,3,1,"The instructor explained complex concepts clearly. However, there was too much theoretical content.",2023
DS004,MLP501,Machine Learning Practice,Dr. Vikram Iyer,4,4,4,2,The course exceeded my expectations.,2024
DS004,DL501,Deep Learning,Dr. Amit Patel,3,4,3,2,"The course exceeded my expectations. However, the pace of the course was too fast.",2024
DS004,NLP501,Natural Language Processing,Dr. Neha Sharma,4,4,4,2,The instructor was very knowledgeable and helpful.,2023
DS004,CV501,Computer Vision,Dr. Ravi Menon,4,3,4,1,The assignments were challenging but rewarding.,2023
DS005,MATH101,Mathematics 1,Dr. Anil Kumar,3,3,3,2,"The assignments were challenging but rewarding. However, the pace of the course was too fast.",2022
DS005,STAT101,Statistics 1,Dr. Priya Singh,4,5,4,1,I would recommend this course to others.,2023
DS005,PROG101,Programming Basics,Prof. Raj Sharma,2,3,3,2,"The assignments were challenging but rewarding. However, the pace of the course was too fast.",2023
DS005,SYSC101,System Commands,Prof. Kavita Reddy,3,3,3,2,"The feedback on assignments was very helpful. However, the course was too difficult.",2022
DS005,MATH201,Mathematics 2,Dr. Anil Kumar,4,4,4,2,The instructor was very knowledgeable and helpful.,2022
DS005,STAT201,Statistics 2,Dr. Priya Singh,4,5,5,1,The assignments were challenging but rewarding.,2022
DS005,JAVA201,Java Programming,Prof. Suresh Verma,3,2,2,2,The content could be better organized.,2022
DS005,DBMS201,DBMS,Prof. Meena Gupta,4,5,4,1,I would recommend this course to others.,2022
DS005,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,2,3,3,2,"The feedback on assignments was very helpful. However, the instructor was not very responsive to questions.",2022
DS005,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,5,4,4,2,The course was well-structured and informative.,2022
DS005,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,4,4,4,1,The course was well-structured and informative.,2023
DS005,DBS301,Database Systems,Prof. Meena Gupta,4,3,3,1,"I would recommend this course to others. However, the course was too difficult.",2022
DS005,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,4,3,3,3,"The course exceeded my expectations. However, i found the assignments too time-consuming.",2023
DS005,CSYS401,Computer Systems,Prof. Kavita Reddy,5,5,4,1,I learned a lot from this course.,2024
DS005,BDS401,Big Data Systems,Dr. Amit Patel,2,2,3,3,The pace of the course was too fast.,2024
DS005,DVIS401,Data Visualization,Dr. Neha Sharma,3,2,3,1,"The instructor was very knowledgeable and helpful. However, i found the assignments too time-consuming.",2024
DS005,MLP501,Machine Learning Practice,Dr. Vikram Iyer,4,4,4,1,The instructor explained complex concepts clearly.,2023
DS005,DL501,Deep Learning,Dr. Amit Patel,1,2,2,3,There was too much theoretical content.,2023
DS005,NLP501,Natural Language Processing,Dr. Neha Sharma,4,5,4,1,I enjoyed the practical aspects of this course.,2024
DS005,CV501,Computer Vision,Dr. Ravi Menon,2,3,2,3,The content could be better organized.,2024
DS006,MATH101,Mathematics 1,Dr. Anil Kumar,3,3,4,2,"The instructor explained complex concepts clearly. However, more practical examples would have been helpful.",2023
DS006,STAT101,Statistics 1,Dr. Priya Singh,5,5,4,1,I would recommend this course to others.,2023
DS006,PROG101,Programming Basics,Prof. Raj Sharma,3,2,2,2,The pace of the course was too fast.,2022
DS006,SYSC101,System Commands,Prof. Kavita Reddy,2,1,1,4,The assessment criteria were not clear.,2022
DS006,MATH201,Mathematics 2,Dr. Anil Kumar,4,3,4,2,The course was well-structured and informative.,2022
DS006,STAT201,Statistics 2,Dr. Priya Singh,1,2,2,3,The pace of the course was too fast.,2022
DS006,JAVA201,Java Programming,Prof. Suresh Verma,4,4,4,2,The instructor explained complex concepts clearly.,2023
DS006,DBMS201,DBMS,Prof. Meena Gupta,4,4,5,1,The instructor was very knowledgeable and helpful.,2022
DS006,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,2,2,2,2,More practical examples would have been helpful.,2023
DS006,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,3,4,4,1,I learned a lot from this course.,2023
DS006,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,5,5,5,1,The feedback on assignments was very helpful.,2023
DS006,DBS301,Database Systems,Prof. Meena Gupta,3,3,3,2,"The assignments were challenging but rewarding. However, i found the assignments too time-consuming.",2023
DS006,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,3,3,4,2,"I enjoyed the practical aspects of this course. However, the course materials need updating.",2023
DS006,CSYS401,Computer Systems,Prof. Kavita Reddy,5,5,5,1,The course was well-structured and informative.,2024
DS006,BDS401,Big Data Systems,Dr. Amit Patel,3,4,3,1,"The feedback on assignments was very helpful. However, the assessment criteria were not clear.",2023
DS006,DVIS401,Data Visualization,Dr. Neha Sharma,4,4,4,1,I enjoyed the practical aspects of this course.,2024
DS007,MATH101,Mathematics 1,Dr. Anil Kumar,2,2,2,4,The course was too difficult.,2023
DS007,STAT101,Statistics 1,Dr. Priya Singh,4,3,4,2,I learned a lot from this course.,2022
DS007,PROG101,Programming Basics,Prof. Raj Sharma,4,3,3,2,"The course was well-structured and informative. However, the pace of the course was too fast.",2022
DS007,SYSC101,System Commands,Prof. Kavita Reddy,4,2,4,2,"The course was well-structured and informative. However, better explanation of complex topics is needed.",2023
DS007,MATH201,Mathematics 2,Dr. Anil Kumar,3,3,4,1,"I learned a lot from this course. However, i found the assignments too time-consuming.",2022
DS007,STAT201,Statistics 2,Dr. Priya Singh,5,5,5,1,The assignments were challenging but rewarding.,2023
DS007,JAVA201,Java Programming,Prof. Suresh Verma,1,2,2,3,Better explanation of complex topics is needed.,2022
DS007,DBMS201,DBMS,Prof. Meena Gupta,3,3,3,3,"I learned a lot from this course. However, better explanation of complex topics is needed.",2022
DS007,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,3,3,2,3,"The assignments were challenging but rewarding. However, the pace of the course was too fast.",2023
DS007,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,4,3,4,1,The course exceeded my expectations.,2022
DS007,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,4,4,4,1,The feedback on assignments was very helpful.,2023
DS007,DBS301,Database Systems,Prof. Meena Gupta,4,4,4,1,The assignments were challenging but rewarding.,2023
DS007,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,4,4,4,1,The feedback on assignments was very helpful.,2024
DS007,CSYS401,Computer Systems,Prof. Kavita Reddy,2,2,2,4,The course materials need updating.,2024
DS007,BDS401,Big Data Systems,Dr. Amit Patel,4,4,4,1,The course was well-structured and informative.,2024
DS007,DVIS401,Data Visualization,Dr. Neha Sharma,4,4,5,1,The feedback on assignments was very helpful.,2024
DS008,MATH101,Mathematics 1,Dr. Anil Kumar,3,4,4,2,I learned a lot from this course.,2023
DS008,STAT101,Statistics 1,Dr. Priya Singh,3,4,4,3,I would recommend this course to others.,2023
DS008,PROG101,Programming Basics,Prof. Raj Sharma,4,4,3,3,The course was well-structured and informative.,2022
DS008,SYSC101,System Commands,Prof. Kavita Reddy,3,3,3,3,"The instructor explained complex concepts clearly. However, the course was too difficult.",2022
DS008,MATH201,Mathematics 2,Dr. Anil Kumar,2,3,2,3,The content could be better organized.,2023
DS008,STAT201,Statistics 2,Dr. Priya Singh,2,2,3,2,There was too much theoretical content.,2022
DS008,JAVA201,Java Programming,Prof. Suresh Verma,1,1,2,3,The content could be better organized.,2022
DS008,DBMS201,DBMS,Prof. Meena Gupta,3,3,4,3,"I learned a lot from this course. However, more practical examples would have been helpful.",2023
DS008,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,4,4,4,1,The instructor was very knowledgeable and helpful.,2023
DS008,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,4,4,4,2,The course exceeded my expectations.,2023
DS008,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,4,4,3,2,The course was well-structured and informative.,2022
DS008,DBS301,Database Systems,Prof. Meena Gupta,3,3,4,2,"I enjoyed the practical aspects of this course. However, there was too much theoretical content.",2022
DS008,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,3,2,3,2,"The feedback on assignments was very helpful. However, i found the assignments too time-consuming.",2024
DS008,CSYS401,Computer Systems,Prof. Kavita Reddy,3,4,3,2,"I enjoyed the practical aspects of this course. However, the assessment criteria were not clear.",2024
DS008,BDS401,Big Data Systems,Dr. Amit Patel,4,4,4,1,The course materials were excellent.,2024
DS008,DVIS401,Data Visualization,Dr. Neha Sharma,3,4,3,3,"The course was well-structured and informative. However, the course was too difficult.",2023
DS009,MATH101,Mathematics 1,Dr. Anil Kumar,3,3,3,3,"I enjoyed the practical aspects of this course. However, the course was too difficult.",2023
DS009,STAT101,Statistics 1,Dr. Priya Singh,3,3,3,2,"The instructor was very knowledgeable and helpful. However, the instructor was not very responsive to questions.",2022
DS009,PROG101,Programming Basics,Prof. Raj Sharma,3,4,3,2,"The course was well-structured and informative. However, the instructor was not very responsive to questions.",2022
DS009,SYSC101,System Commands,Prof. Kavita Reddy,4,3,4,1,I learned a lot from this course.,2023
DS009,MATH201,Mathematics 2,Dr. Anil Kumar,3,3,5,2,The course exceeded my expectations.,2022
DS009,STAT201,Statistics 2,Dr. Priya Singh,4,4,4,2,I enjoyed the practical aspects of this course.,2023
DS009,JAVA201,Java Programming,Prof. Suresh Verma,5,5,5,1,I learned a lot from this course.,2022
DS009,DBMS201,DBMS,Prof. Meena Gupta,3,4,3,2,"I enjoyed the practical aspects of this course. However, the course materials need updating.",2022
DS009,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,3,3,3,2,"The course exceeded my expectations. However, better explanation of complex topics is needed.",2023
DS009,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,4,4,4,1,The instructor was very knowledgeable and helpful.,2022
DS009,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,5,4,5,1,The feedback on assignments was very helpful.,2022
DS009,DBS301,Database Systems,Prof. Meena Gupta,5,4,3,1,I learned a lot from this course.,2023
DS009,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,3,2,4,1,"I would recommend this course to others. However, the pace of the course was too fast.",2023
DS009,CSYS401,Computer Systems,Prof. Kavita Reddy,4,4,4,1,I learned a lot from this course.,2023
DS009,BDS401,Big Data Systems,Dr. Amit Patel,4,4,4,2,I would recommend this course to others.,2024
DS009,DVIS401,Data Visualization,Dr. Neha Sharma,4,4,3,2,The instructor was very knowledgeable and helpful.,2023
DS010,MATH101,Mathematics 1,Dr. Anil Kumar,5,3,5,1,I enjoyed the practical aspects of this course.,2023
DS010,STAT101,Statistics 1,Dr. Priya Singh,4,4,4,1,The course was well-structured and informative.,2022
DS010,PROG101,Programming Basics,Prof. Raj Sharma,3,2,3,2,"The course exceeded my expectations. However, more practical examples would have been helpful.",2022
DS010,SYSC101,System Commands,Prof. Kavita Reddy,3,4,5,2,The course exceeded my expectations.,2023
DS010,MATH201,Mathematics 2,Dr. Anil Kumar,3,3,3,1,"The course exceeded my expectations. However, the course materials need updating.",2022
DS010,STAT201,Statistics 2,Dr. Priya Singh,3,3,4,1,"The course exceeded my expectations. However, the pace of the course was too fast.",2022
DS010,JAVA201,Java Programming,Prof. Suresh Verma,3,3,2,1,"The course was well-structured and informative. However, better explanation of complex topics is needed.",2022
DS010,DBMS201,DBMS,Prof. Meena Gupta,3,5,3,2,The assignments were challenging but rewarding.,2023
DS010,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,3,4,3,1,"I would recommend this course to others. However, the content could be better organized.",2022
DS010,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,3,3,4,1,"I learned a lot from this course. However, the instructor was not very responsive to questions.",2023
DS010,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,4,4,3,1,The instructor explained complex concepts clearly.,2022
DS010,DBS301,Database Systems,Prof. Meena Gupta,3,4,4,1,The course materials were excellent.,2023
DS010,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,2,2,2,3,More practical examples would have been helpful.,2024
DS010,CSYS401,Computer Systems,Prof. Kavita Reddy,2,3,2,2,The pace of the course was too fast.,2024
DS010,BDS401,Big Data Systems,Dr. Amit Patel,3,3,4,1,"The course was well-structured and informative. However, i found the assignments too time-consuming.",2024
DS010,DVIS401,Data Visualization,Dr. Neha Sharma,5,4,5,1,I would recommend this course to others.,2024
DS010,MLP501,Machine Learning Practice,Dr. Vikram Iyer,3,2,3,3,"The assignments were challenging but rewarding. However, the pace of the course was too fast.",2024
DS010,DL501,Deep Learning,Dr. Amit Patel,3,3,3,2,"The course was well-structured and informative. However, the pace of the course was too fast.",2023
DS010,NLP501,Natural Language Processing,Dr. Neha Sharma,3,3,2,3,"I learned a lot from this course. However, i found the assignments too time-consuming.",2023
DS010,CV501,Computer Vision,Dr. Ravi Menon,4,4,5,1,The feedback on assignments was very helpful.,2024
DS011,MATH101,Mathematics 1,Dr. Anil Kumar,3,4,3,1,"I enjoyed the practical aspects of this course. However, the instructor was not very responsive to questions.",2022
DS011,STAT101,Statistics 1,Dr. Priya Singh,3,3,3,2,"The course materials were excellent. However, the content could be better organized.",2022
DS011,PROG101,Programming Basics,Prof. Raj Sharma,3,3,2,2,"The instructor explained complex concepts clearly. However, the instructor was not very responsive to questions.",2022
DS011,SYSC101,System Commands,Prof. Kavita Reddy,4,4,5,1,I learned a lot from this course.,2022
DS011,MATH201,Mathematics 2,Dr. Anil Kumar,4,4,3,1,The feedback on assignments was very helpful.,2023
DS011,STAT201,Statistics 2,Dr. Priya Singh,4,3,4,1,The instructor was very knowledgeable and helpful.,2022
DS011,JAVA201,Java Programming,Prof. Suresh Verma,4,5,5,1,The course materials were excellent.,2023
DS011,DBMS201,DBMS,Prof. Meena Gupta,3,3,3,3,"The assignments were challenging but rewarding. However, the course materials need updating.",2022
DS011,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,5,5,5,1,The instructor was very knowledgeable and helpful.,2022
DS011,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,3,3,5,2,The course exceeded my expectations.,2022
DS011,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,3,2,3,2,"I enjoyed the practical aspects of this course. However, the course was too difficult.",2022
DS011,DBS301,Database Systems,Prof. Meena Gupta,2,3,2,3,The assessment criteria were not clear.,2023
DS011,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,3,4,3,1,"The instructor was very knowledgeable and helpful. However, the course was too difficult.",2024
DS011,CSYS401,Computer Systems,Prof. Kavita Reddy,3,4,4,1,The course materials were excellent.,2024
DS011,BDS401,Big Data Systems,Dr. Amit Patel,4,5,4,1,I enjoyed the practical aspects of this course.,2024
DS011,DVIS401,Data Visualization,Dr. Neha Sharma,2,3,4,1,"The course materials were excellent. However, the pace of the course was too fast.",2024
DS011,MLP501,Machine Learning Practice,Dr. Vikram Iyer,3,3,3,2,"The feedback on assignments was very helpful. However, there was too much theoretical content.",2024
DS011,DL501,Deep Learning,Dr. Amit Patel,3,4,4,1,The course exceeded my expectations.,2023
DS011,NLP501,Natural Language Processing,Dr. Neha Sharma,3,2,3,2,"The course was well-structured and informative. However, more practical examples would have been helpful.",2024
DS011,CV501,Computer Vision,Dr. Ravi Menon,4,4,4,2,The course was well-structured and informative.,2024
DS012,MATH101,Mathematics 1,Dr. Anil Kumar,3,4,4,1,The course materials were excellent.,2023
DS012,STAT101,Statistics 1,Dr. Priya Singh,3,3,2,3,"The assignments were challenging but rewarding. However, the pace of the course was too fast.",2023
DS012,PROG101,Programming Basics,Prof. Raj Sharma,4,5,3,2,The course exceeded my expectations.,2023
DS012,SYSC101,System Commands,Prof. Kavita Reddy,3,2,2,2,The content could be better organized.,2022
DS012,MATH201,Mathematics 2,Dr. Anil Kumar,5,4,5,1,I learned a lot from this course.,2022
DS012,STAT201,Statistics 2,Dr. Priya Singh,5,5,5,1,The course was well-structured and informative.,2022
DS012,JAVA201,Java Programming,Prof. Suresh Verma,4,5,5,1,The course materials were excellent.,2023
DS012,DBMS201,DBMS,Prof. Meena Gupta,5,5,5,1,I learned a lot from this course.,2023
DS012,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,4,3,3,1,"The instructor was very knowledgeable and helpful. However, the course was too difficult.",2023
DS012,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,3,4,4,1,I learned a lot from this course.,2023
DS012,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,3,3,3,2,"The course materials were excellent. However, better explanation of complex topics is needed.",2023
DS012,DBS301,Database Systems,Prof. Meena Gupta,3,3,4,2,"The instructor was very knowledgeable and helpful. However, the course materials need updating.",2023
DS012,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,5,5,5,1,The instructor explained complex concepts clearly.,2023
DS012,CSYS401,Computer Systems,Prof. Kavita Reddy,2,3,2,2,There was too much theoretical content.,2023
DS012,BDS401,Big Data Systems,Dr. Amit Patel,4,4,3,1,The course exceeded my expectations.,2024
DS012,DVIS401,Data Visualization,Dr. Neha Sharma,2,4,3,2,"I learned a lot from this course. However, i found the assignments too time-consuming.",2024
DS012,MLP501,Machine Learning Practice,Dr. Vikram Iyer,1,1,2,4,Better explanation of complex topics is needed.,2023
DS012,DL501,Deep Learning,Dr. Amit Patel,3,4,3,3,"The course was well-structured and informative. However, the pace of the course was too fast.",2023
DS012,NLP501,Natural Language Processing,Dr. Neha Sharma,3,3,3,1,"I learned a lot from this course. However, better explanation of complex topics is needed.",2024
DS012,CV501,Computer Vision,Dr. Ravi Menon,3,3,4,1,"The course was well-structured and informative. However, the course materials need updating.",2023
DS013,MATH101,Mathematics 1,Dr. Anil Kumar,5,4,5,2,I learned a lot from this course.,2022
DS013,STAT101,Statistics 1,Dr. Priya Singh,4,3,5,2,The assignments were challenging but rewarding.,2022
DS013,PROG101,Programming Basics,Prof. Raj Sharma,3,4,3,1,"The instructor explained complex concepts clearly. However, the course was too difficult.",2023
DS013,SYSC101,System Commands,Prof. Kavita Reddy,2,2,3,3,I found the assignments too time-consuming.,2022
DS013,MATH201,Mathematics 2,Dr. Anil Kumar,5,4,4,1,I learned a lot from this course.,2023
DS013,STAT201,Statistics 2,Dr. Priya Singh,3,3,4,2,"I enjoyed the practical aspects of this course. However, more practical examples would have been helpful.",2023
DS013,JAVA201,Java Programming,Prof. Suresh Verma,4,3,4,2,The course materials were excellent.,2023
DS013,DBMS201,DBMS,Prof. Meena Gupta,3,2,3,2,"The assignments were challenging but rewarding. However, the instructor was not very responsive to questions.",2023
DS013,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,4,4,4,1,The instructor was very knowledgeable and helpful.,2022
DS013,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,5,4,3,2,The assignments were challenging but rewarding.,2023
DS013,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,4,3,4,2,The assignments were challenging but rewarding.,2022
DS013,DBS301,Database Systems,Prof. Meena Gupta,4,4,4,1,The instructor was very knowledgeable and helpful.,2023
DS013,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,4,4,4,1,I learned a lot from this course.,2024
DS013,CSYS401,Computer Systems,Prof. Kavita Reddy,3,3,2,2,"I enjoyed the practical aspects of this course. However, better explanation of complex topics is needed.",2024
DS013,BDS401,Big Data Systems,Dr. Amit Patel,3,4,3,1,"The assignments were challenging but rewarding. However, the content could be better organized.",2023
DS013,DVIS401,Data Visualization,Dr. Neha Sharma,4,3,2,1,"The feedback on assignments was very helpful. However, there was too much theoretical content.",2023
DS013,MLP501,Machine Learning Practice,Dr. Vikram Iyer,4,3,3,1,"The instructor was very knowledgeable and helpful. However, the content could be better organized.",2023
DS013,DL501,Deep Learning,Dr. Amit Patel,5,5,4,1,The instructor was very knowledgeable and helpful.,2024
DS013,NLP501,Natural Language Processing,Dr. Neha Sharma,5,5,5,1,The instructor explained complex concepts clearly.,2024
DS013,CV501,Computer Vision,Dr. Ravi Menon,2,1,2,3,More practical examples would have been helpful.,2023
